filename    filesize    num_reads   time
SC_V8G_Plate4_G1_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  1.4M    35058
KE_V2L_Plate4_G5_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  1.5M    34208
CH_V4S_Plate2_H9_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  1.5M    34310
TV_V5S_Plate3_F1_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  1.5M    32973
AB_V3G_Plate4_E7_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  1.6M    32862
SC_V10L_Plate2_E7_m84250R1_241126_003500_s4.hifi_reads.fastq.gz 1.6M    37538
RE_T3_Plate1_C4_m84250R1_241126_003500_s4.hifi_reads.fastq.gz   1.6M    36995
BH_V1B_Plate4_C1_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  1.6M    33854
DS_V4S_Plate2_H8_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  1.6M    33659
KE_V6S_Plate3_G2_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  1.8M    40694
TV_V3L_Plate4_H4_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  1.9M    44730
AB_V3B_Plate1_F6_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  1.9M    44222
TV_V1G_Plate1_H10_m84250R1_241126_003500_s4.hifi_reads.fastq.gz 2.0M    45631
WH_V1L_Plate4_F8_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  2.1M    44520
DN_V4L_Plate4_F5_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  2.1M    46767
DN_V2G_Plate1_H9_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  2.2M    50164
EY_V3B_Plate3_A1_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  2.2M    51382
DN_V5S_Plate3_F10_m84250R1_241126_003500_s4.hifi_reads.fastq.gz 2.3M    51248
SC_V9L_Plate4_F9_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  2.3M    51703
AB_V2G_Plate4_D3_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  2.4M    57214
EY_V5S_Plate3_F8_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  2.4M    53175
CH_V4L_Plate4_H9_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  2.6M    62479
CB_V4B_Plate2_A7_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  2.9M    62129
SC_V5B_Plate3_H2_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  3.0M    66424
SC_V9S_Plate2_D2_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  3.0M    63119
DS_V3G_Plate4_C8_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  3.3M    73407
EY_V4G_Plate2_F4_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  3.3M    67831
EY_V1B_Plate1_A11_m84250R1_241126_003500_s4.hifi_reads.fastq.gz 3.7M    79817
RE_V4S_Plate2_G9_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  4.8M    99413
PC_V3L_Plate2_D5_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  5.1M    99613
CB_V5G_Plate4_C11_m84250R1_241126_003500_s4.hifi_reads.fastq.gz 5.1M    110627
SC_V4L_Plate4_B10_m84250R1_241126_003500_s4.hifi_reads.fastq.gz 5.2M    130191
BK_V1S_Plate2_D10_m84250R1_241126_003500_s4.hifi_reads.fastq.gz 5.3M    107651
